TOA5,CR3000 Bert,CR3000,1972,CR3000.Std.06,CPU:MF.Msexta.June2018.CR3,31689,Table1,x,x,x,x,x
TIMESTAMP,RECORD,SEVolt_Avg,TAir_AVG,Top_avg1,Top_avg2,Top_avg3,Top_avg4,Top_avg5,Top_avg6,Top_avg7,Top_avg8,Top_avg9
TS,RN,mV,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
7/2/2018 11:40,0,1.567,22.68,23.26,22.36,23.03,22.59,23.09,23.41,NAN,23.07,22.83
7/2/2018 11:50,1,1.445,22.74,23.25,22.43,23.1,22.75,23.18,23.25,NAN,23.23,22.76
7/2/2018 12:00,2,1.492,23.09,23.35,22.93,23.35,22.93,23.32,23.24,NAN,23.3,23.07
7/2/2018 12:10,3,1.558,23.11,23.37,22.95,23.37,22.96,23.38,23.26,23.37,23.33,23.11
7/2/2018 12:20,4,1.561,22.9,23.36,22.66,23.32,22.76,23.31,23.09,23.36,23.29,22.96
7/2/2018 12:30,5,1.551,22.83,23.33,22.55,23.28,22.69,23.27,23,23.33,23.26,22.88
7/2/2018 12:40,6,1.534,22.85,23.3,22.57,23.29,22.76,23.26,23,23.37,23.3,22.9
7/2/2018 12:50,7,1.502,22.99,23.33,22.77,23.33,22.82,23.26,23.13,23.39,23.31,23
7/2/2018 13:00,8,1.509,22.77,23.34,22.52,23.3,22.52,23.2,22.96,23.32,23.16,22.82
7/2/2018 13:10,9,1.506,22.93,23.32,22.76,23.34,22.75,23.2,23.14,23.32,23.23,22.98
7/2/2018 13:20,10,1.499,22.73,23.29,22.44,23.27,22.55,23.17,22.93,23.27,23.13,22.76
7/2/2018 13:30,11,1.486,22.98,23.3,22.83,23.31,22.84,23.2,23.14,23.3,23.26,23.02
7/2/2018 13:40,12,1.502,22.98,23.33,22.75,23.33,22.79,23.23,23.11,23.34,23.26,22.98
7/2/2018 13:50,13,1.498,23,23.34,22.8,23.35,22.82,23.26,23.15,23.36,23.27,23.03
7/2/2018 14:00,14,1.516,22.96,23.38,22.73,23.35,22.78,23.25,23.13,23.39,23.27,23.02
7/2/2018 14:10,15,1.508,23.02,23.38,22.87,23.36,22.77,23.24,23.2,23.36,23.25,23.04
7/2/2018 14:20,16,1.501,22.99,23.38,22.8,23.38,22.78,23.24,23.2,23.39,23.28,23.05
7/2/2018 14:30,17,1.492,22.58,23.33,22.22,23.27,22.21,23.13,22.83,23.3,23.02,22.63
7/2/2018 14:40,18,1.484,23.01,23.33,22.79,23.37,22.8,23.22,23.19,23.29,23.22,23.03
7/2/2018 14:50,19,1.471,22.91,23.31,22.69,23.33,22.77,23.23,23.1,24.35,23.24,22.95
7/2/2018 15:00,20,1.468,23.07,23.34,22.91,23.36,22.91,23.29,23.18,23.43,23.28,23.06
7/2/2018 15:10,21,1.476,23.14,23.39,23,23.41,22.93,23.34,23.28,23.39,23.3,23.15
7/2/2018 15:20,22,1.477,23.05,23.39,22.84,23.39,22.82,23.35,23.18,23.36,23.26,23.06
7/2/2018 15:30,23,1.475,23.07,23.41,22.85,23.41,22.88,23.37,23.2,23.41,23.31,23.07
7/2/2018 15:40,24,1.487,22.95,23.42,22.69,23.4,22.63,23.31,23.14,23.4,23.22,22.98
7/2/2018 15:50,25,1.48,22.81,23.37,22.44,23.38,22.44,23.31,22.99,23.33,23.09,22.79
7/2/2018 16:00,26,1.466,23.02,23.36,22.8,23.39,22.82,23.33,23.18,31.99,23.26,23.06
7/2/2018 16:10,27,1.476,23.07,23.36,22.84,23.39,22.83,23.33,23.21,NAN,23.26,23.06
7/2/2018 16:20,28,1.439,22.91,23.34,22.61,23.35,22.74,23.36,23.02,NAN,23.24,22.89
7/2/2018 16:30,29,1.437,23.06,23.37,22.86,23.38,22.87,23.33,23.2,23.36,23.27,23.06
7/2/2018 16:40,30,1.437,23.05,23.37,22.85,23.39,22.86,23.34,23.19,23.37,23.28,23.04
7/2/2018 16:50,31,1.453,22.94,23.37,22.69,23.38,22.76,23.37,23.1,23.79,23.26,22.99
7/2/2018 17:00,32,1.465,22.91,23.4,22.65,23.38,22.58,23.29,23.07,29.14,23.2,22.93
7/2/2018 17:10,33,1.464,22.68,23.35,22.28,23.31,22.26,23.26,22.95,23.59,23.02,22.71
7/2/2018 17:20,34,1.455,23.02,23.35,22.77,23.38,22.75,23.3,23.17,NAN,23.2,23
7/2/2018 17:30,35,0.252,22.83,23.29,22.57,23.33,22.65,23.31,22.98,NAN,23.15,22.87
7/2/2018 17:40,36,0.021,23.01,23.3,22.89,23.34,22.79,23.25,23.19,23.28,23.17,23.09
