"TOA5","CR3000 Bert","CR3000","1972","CR3000.Std.06","CPU:MF.Msexta.June2018.CR3","31689","Table2"
"TIMESTAMP","RECORD","Batt_Volt_Min"
"TS","RN","Volts"
"","","Min"
"2018-07-03 00:00:00",0,13.17
"2018-07-04 00:00:00",1,12.79
"2018-07-05 00:00:00",2,12.72
"2018-07-06 00:00:00",3,12.64
"2018-07-07 00:00:00",4,12.58
"2018-07-08 00:00:00",5,12.51
"2018-07-09 00:00:00",6,12.45
"2018-07-10 00:00:00",7,12.39
"2018-07-11 00:00:00",8,12.36
"2018-07-12 00:00:00",9,12.33
"2018-07-13 00:00:00",10,12.27
"2018-07-14 00:00:00",11,12.21
"2018-07-15 00:00:00",12,12.15
"2018-07-16 00:00:00",13,12.12
"2018-07-17 00:00:00",14,12.07
"2018-07-18 00:00:00",15,12.02
"2018-07-19 00:00:00",16,11.95
